x,y
0,0
0.032258065,0.080894309
0.064516129,0.164634146
0.096774194,0.248373984
0.129032258,0.321626016
0.161290323,0.390081301
0.193548387,0.448455285
0.225806452,0.489593496
0.258064516,0.520243902
0.290322581,0.547479675
0.322580645,0.56902439
0.35483871,0.586260163
0.387096774,0.60398374
0.419354839,0.616422764
0.451612903,0.62699187
0.483870968,0.63601626
0.516129032,0.642764228
0.548387097,0.648455285
0.580645161,0.652764228
0.612903226,0.659512195
0.64516129,0.668617886
0.677419355,0.680569106
0.709677419,0.692520325
0.741935484,0.708780488
0.774193548,0.72699187
0.806451613,0.747560976
0.838709677,0.773414634
0.870967742,0.805934959
0.903225806,0.842357724
0.935483871,0.883495935
0.967741935,0.936585366
1,1
